kana,hina,romaji,english,explanation
ポリポリ,ぽりぽり,pori pori,(1) *scratch scratch*;(2) *munch*,"(1) Little scratch;(2) Eating biscuit-type foods, slightly crunchy but doesn't take effort to chew."
ポロ,ぽろ,poro,*drops* *rolls*,"Dropping something, something rolling.  See also *koro* and *koron*."
ポロポロ,ぽろぽろ,poro poro,*drip drip**tears*,"Tears flowing slowly in small drops, emphasis on having lots of tears."
ポロンポロン,ぽろんぽろん,poron poron,*strum strum**twang twang*,"SFX for a musical sound from string-like material, such as the twanging of a guitar."
ポタ,ぽた,pota,(1) *drip* *plunk*;(2) *plip*,"(1) *pochan* = kerplunk!See also *pi*, *picha*, *pichon*, and *pochi*;(2) SFX for light dripping sound of liquid falling and landing."
ポタポタ,ぽたぽた,pota pota,*drip drip**drip drop*,"SFX for a small amount of liquid, or fast dripping.  See also *bota bota*."
ポタンポタン,ぽたんぽたん,potan potan,*drip drip*,SFX for a slow dripping sound.
ポテ,ぽて,pote,(1) *chubby* *flop*;(2) *lean*,"(2) SFX for leaning against someone, i.e. resting forehead against someone's shoulder."
ポテン,ぽてん,poten,(1) *lands* *step* *tap*;(2) *scuff*,(1) SFX for stepping lightly on the ground with one's shoe;(2) SFX for brushing the ground lightly with one's shoe
ポト,ぽと,poto,*drops* *rolls*,"Dropping something, something rolling.  See also *koro* and *koron*."
ポトポト,ぽとぽと,poto poto,*drip drip*,"Tends to be faster than *Pota pota*, large drops."
ポトス,ぽとす,potosu,*hurl**throw**launch*,SFX for throwing or tossing something in a very direct manner.
ポツポツ,ぽつぽつ,potsu potsu,(1) *spot spot* *bit by bit* *spotty*;(2) *pitter-patter*,"(1) When spots start appearing;(2) When it starts raining softly, unlike *Botsu botsu*; see also *para para*."
ポツーン,ぽつーん,potsu-n,*all alone*,
ポツン,ぽつん,potsun,*alone* *separated**silence*,"SFX for loneliness, separation."
ポツンポツン,ぽつんぽつん,potsun potsun,*first raindrops*,
ポウ,ぽう,pou,*glow*,Like with magic or some invisible force.
マンジリ,まんじり,manjiri,*didn't sleep a wink**no rest at all**not a wink*,
マスマス,ますます,masu masu,*more and more*,
ミッ,みっ,mi,*cry* *sob* *wail*,"SFX for a sob of pain, groaning, or a high-pitched grunt of complaint."
ミー,みー,mi-,(1) *cry* *wail*;(2) *wail* *pain*,"(1) See also *e* and *hu-e*;(2) SFX for an expression of pain, usually wailing or groaning"
ミーンミーン,みーんみーん,mi-n mi-n,*cicada cry*,The sound of cicadas in the summer.
ミイー,みいー,mii-,*meow*,SFX for the meowing of a cat.
ミンミンミン,みんみんみん,minminmin,*cicada cry*,Sounds of a cicada.
ミシ,みし,mishi,*creak*,
ミスミス,みすみす,misu misu,*under one's nose*,
ムッ,むっ,mu,*pissed off* *annoyed*,"SFX for when someone gets mad/annoyed, like *Mu*"
ムー,むー,mu-,(1) *doooh* *grrr*;(2) *hmph*;(3) *mrrr*,"(1) When you blow up your cheeks and whine like a child, like *Pu~*;(2) A grunt of angerNote: May consider it from the verb for ""to be angry"" or 「むかつく」"
ムーン,むーん,mu-n,(1) *grimace* *anger* *sulky*;(2) *hmm* *heeehh* *huh* *mmmph* *mmm*,"(2) A sarcastic, elongated grunt.  Kind of like when you know someone's lying to your face but you're just not calling them a liar.  Ex: ""Is that so..."" (rhetorical)"
ムチムチ,むちむち,muchi muchi,*full-bodied**bouncy**plump*,"Plump or full-bodied, but mobile or flexible."
ムフ,むふ,mufu,*tee-hee* *tee hee**hehe* *chuckle* *laugh*,"SFX for light, quiet laughter, as if over an inside joke or a devious plan in the works."
ムフームフー,むふーむふー,mufu- mufu-,*wheeze wheeze**gasp wheeze**breathing hard*,SFX for breathing painfully or stressfully.
ムフーン,むふーん,mufu-n,*sigh* *haahh*,"SFX for a big breath, big exhale."
ムグ,むぐ,mugu,*eating* *munch*,"Munching with closed mouth, see also *moku*."
ムグムグ,むぐむぐ,mugu mugu,*eating with mouthful* *munch munch*,
ムヒャ,むひゃ,muhya,*munch* *nom* *om nom*,"SFX for vigorous, voracious eating; sound of stuffing one's mouth full of food and trying to eat a lot at once."
ムヒャムヒャ,むひゃむひゃ,muhya muhya,*munch munch* *nom nom* *om nom*,"SFX for vigorous, voracious eating; sound of stuffing one's mouth full of food and trying to eat a lot at once."
ムカ,むか,muka,*pissed off* *cranky**problem?!**grrr* *grumble*,"SFX for when someone gets mad/annoyed.Derives from the intransitive verb ""to feel irritated or annoyed with something"" or 「むかつく」."
ムカムカ,むかむか,muka muka,*nauseous**nausea**queasy**feels sick*,"SFX for feeling queasy or sick, ex: when someone drinks too much they don't feel good."
ムキムキ,むきむき,muki muki,(1) *muscly* *buff*;(2) *suitable*,(1) SFX for an extremely fit body;(2) SFX for satisfaction
ムキーッ,むきーっ,muki-,*grr* *rawr* *pissed*,"SFX for a growling noise or sound of disappointment, made when one is angry."
ムキイイ,むきいい,mukiii,*ahhhh!*,SFX for screaming and complaining.
ムッカ,むっか,mukka,*pissed off* *cranky* *problem?!*,SFX for when someone gets mad/annoyed.
ムク,むく,muku,(1) *get up* *sit up*;(2) *eating* *munch*,"(2) Munching with closed mouth, see also *moku*.  *muku muku* might be interesting too."
ムクムク,むくむく,muku muku,*fleshy**plump**chubby*,
ムムー,むむー,mumu-,*grimace* *anger* *sulky*,
ムムム,むむむ,mumumu,(1) *what's this what's this?*;(2) *hmmm*;(3) *grrr*,(1) Like when you realize something;(2) SFX for when you are dwelling on something;(3) When you're pissed off.
ムニャ,むにゃ,munya,*sleepy gaze*,
ムニュ,むにゅ,munyu,*grope*,"Sound of groping, usually a girl's chest."
ムンズ,むんず,munzu,*grabs* *yank*,"SFX to grab suddenly, with force."
ムラ,むら,mura,(1) *turned on* *interested*;(2) *irresistibly* *suddenly*,"(1) SFX for sexual attraction;(2) SFX for an impulse emotion, a sudden desire to want to do something"
ムラムラ,むらむら,mura mura,(1) *turned on* *interested*;(2) *irresistibly* *suddenly*,"(1) SFX for sexual attraction;(2) SFX for an impulse emotion, a sudden desire to want to do something"
ムシャ,むしゃ,musha,*chomp*,Like taking a bit bite off of a drumstick.
ムシッ,むしっ,mushi,*rip* *tear* *tear apart*,Like tearing apart something paper-like.
ムッスリ,むっすり,mussuri,*urgh* *grr*,SFX for a grunt or growling sound of frustration or anger.
ムス,むす,musu,*grimace* *anger* *sulky*,
ムズムズ,むずむず,muzu muzu,(1) *impatient*;(2) *itchy*,"(1) State of impatience, like *ウズウズ* but not in the sense that you are eager to do something."
メチャクチャ,めちゃくちゃ,mecha kucha,(1) *a mess**all messed up**all over the place*;(2) *messed up**insanely (something)*,"(1) Ex: everything messed up in the house after the earthquake;(2) A mentality, Ex: insanely happy, or all messed up after a breakup."
メチャメチャ,めちゃめちゃ,mecha mecha,(1) *lots* *very*;(2) *smashed up* *beat up* *in pieces*,(2) Almost (or totally) broken beyond repair.
メェ,めぇ,mee,*meeh* *baa*,Sound of sheep.
メエメエ,めえめえ,mee mee,*baa baa**meeh meeh*,SFX for a sheep call.
メエーメエー,めえーめえー,mee- mee-,*baa baa**meeh meeh*,SFX for a sheep or goat call.
メキ,めき,meki,*rip* *crack*,"When something tears/breaks, usually due to overgrowth, like a tree."
メキメキ,めきめき,meki meki,*quick progress*,
メラメラ,めらめら,mera mera,*burning* *on fire**crackle crackle**crackle pop*,"SFX for flames burning, such as a campfire; can also be a mental burning."
メリ,めり,meri,*rip rip*,"When something tears/breaks, usually due to overgrowth like *Meki* but also has a ""ripping"" notion with it."
メロメロ,めろめろ,mero mero,*totally in love*,"Like ""melting in live."""
メソメソ,めそめそ,meso meso,*sob sob**whine whine**sob*,
モー,もー,mo-,*moo*,For a cow.
モーッ,もーっ,mo-,(1) *geez* *ugh* *gah*;(2) *oy* *hey!*,SFX for a sound or groan of frustration or protest.
モグ,もぐ,mogu,*eating* *munching*,See also *mugu*.
モグモグ,もぐもぐ,mogu mogu,*munch munch*,"SFX for when one is eating or chewing something/mouthful.See also *mogu* (モグ), and *momu momu* (モムモム)."
モジ,もじ,moji,*shyness**fidget*,
モコモコ,もこもこ,moko moko,*soft and fluffy**fluffy fluffy*,"SFX for soft, light texture, like for a stuffed animal or fluffy clothes."
モク,もく,moku,(1) *eating* *munching*;(2) *smoke* *smoggy* *smoky* *smokey*,(1) See also *mugu*.
モクモク,もくもく,moku moku,(1) *totally absorbed*;(2) *smoke* *smoggy* *smoky* *smokey*,(1) To do something in an absorbed manner.
モミ,もみ,momi,*groping*,
モムモム,もむもむ,momu momu,*mrrmm mrrhmm**munch munch**mmmhhrmm*,SFX for having a mouthful of food; a mumbled version of *mogu mogu* (モグモグ).
モオー,もおー,moo-,*moo*,SFX for the call of a cow.
モリモリ,もりもり,mori mori,(1) *a lot**piled up*;(2) *gusto**with gusto**enthusiastically**hungrily*;(3) *hungrily**munching hungrily*,"(1) In terms of volume.Ex: ""A lot of work piled up on my desk"";(2) Ex: ""The boysdevouredtheir meal"";(3) SFX for eating something with great enthusiasm, usually with mouth closed"
モシャ,もしゃ,mosha,*munch*,SFX for eating something crunchy.
モウモウ,もうもう,mou mou,*moo moo*,Sound of cows.
モウー,もうー,mou-,doh!,
モゾ,もぞ,mozo,*snuggle*,
モゾゴゾ,もぞごぞ,mozo gozo,*slink slink**creeps over*,Semi-reluctant movement; like a kid being forced to return to their room.
モゾモゾ,もぞもぞ,mozo mozo,*snuggle*,"Something moving, to snuggle up to someone."
ヤァ,やぁ,yaa,*kyaa* *blush* *nooo!*,"SFX for embarrassment, or embarrassed denial or refusal."
ヤホ,やほ,yaho,*yoo-hoo!* hey! hi!,
ヤホイ,やほい,yahoi,"oh, well;what the heck;good grief","What you say when you're frustrated, exasperated, or giving up."
ヤキモキ,やきもき,yaki moki,*worry*,
ヤンワリ,やんわり,yanwari,(1) *soft*;(2) *softly* *slowly* *whisper* *quietly* *gently*,"(1) Very soft, tender;(2) To speak softly or slowly."
ヤレヤレ,やれやれ,yare yare,*dear me**dear oh dear**what to do**oh goodness**my goodness*,"SFX for exclamation of surprise, disappointment, or some other powerful emotion or reaction."
ユックリ,ゆっくり,yukkuri,*slowly**relaxed pace**taking their time*,"To do something without rushing it.This can sometimes be an expression of aggravation for another character being too slow, or it can be in the context of a positive teacher-to-student relationship."
ユラ,ゆら,yura,*wobble* *shaky* *unsteady*,As if to stand up on shaky legs.
ユラユラ,ゆらゆら,yura yura,*waver* *shake quietly*,Ex: candle light wavering.
ユラァ,ゆらぁ,yuraa,(1) *wobble* *shaky* *unsteady*;(2) *drift* *fwish* *fwoosh* *whoosh*,(1) As if to stand up on shaky legs;(2) SFX for the movement of air
ユサ,ゆさ,yusa,*shake*,
ユサユサ,ゆさゆさ,yusa yusa,*shake shake*,To shake someone.
ヨッ,よっ,yo,*grunt* *umph* *here we go*,"SFX for a grunt of effort, in a positive manner.  See also *yoisho*."
ヨー,よー,yo-,*huff* *oof*,
ヨボヨボ,よぼよぼ,yobo yobo,*senile**crazy**forgetful*,"To become senile, usually with age."
ヨチヨチ,よちよち,yochi yochi,*gingerly**small steps**slowly**carefully*,To walk gingerly in small steps.
ヨイヨイ,よいよい,yoi yoi,*stiff**lost reflexes**no strength**weak*,To lose one's reflexes or strength.
ヨイショ,よいしょ,yoisho,(1) *grunt*;(2) *alrighty*,"A grunt which one says when they are about to perform a task, especially a physical task they don't want to do.  Like ""here we go""; see also *ヨッコラセ* (Yokkorase), *アラヨット* (Arayotto)."
ヨジ,よじ,yoji,*crawl*,"The sound a cockroach makes when crawling up your back.  May be related to *jiri jiri*, which is ""inching."""
ヨジヨジ,よじよじ,yoji yoji,(1) *climb climb*;(2) *shuffle shuffle*,(2) Moving impatiently.
ヨッコラセ,よっこらせ,yokkorase,*grunt*,Same as *Yoisho*
ヨナヨナ,よなよな,yona yona,*slender**delicate**fragile*,
ヨレヨレ,よれよれ,yore yore,*worn out**tired**exhausted**no more energy**drained*,
ヨロ,よろ,yoro,(1) *stagger* *waddle**walk shakily*;(2) *weakly*;(3) *wobbly* *wobble*,
ヨロヨロ,よろよろ,yoro yoro,(1) *wobbly**tottering**stagger*;(2) *can barely walk*;(3) *total wreck*;(4) *weak weak*,(3) In a torn state.
ヨロロ,よろろ,yororo,*stagger* *waddle* *walk shakily*,
ラララ,ららら,ra ra ra,*la di da**la la la*,SFX for skipping and humming a happy tune.
ラブラブ,らぶらぶ,rabu rabu,*romantic**love love*,"SFX that literally derives from the Japanese pronunciation of ""love-love"" as ""rah-bu rah-bu."""
ラクラク,らくらく,raku raku,*too easy*,"SFX derived from the adjective ""easy"" or 「楽な」."
ランッ,らんっ,ran,(1) *beam* *intensely*,"(1) SFX for sudden attention in one's gaze, like snapping to attention dramatically (can be used for comedic effect)"
ランラン,らんらん,ran ran,*la la*,SFX for skipping and humming a happy tune.
ランラン,らんらん,ranran,*intense* *fiery*,"SFX for an eye expression, for intense, fiery eyes."
ララリ,ららり,rarari,*ching ching**cha-ching ching*,"SFX for a light tinkling, ringing, bell-like, chime-like sound.  Can be mechanical or digital, like from a video game."
レロレロ,れろれろ,rero rero,*bleh bleh**roll roll*,(1) Rolling something with/on the tongue
ワ,わ,wa,*wow!* *ack!* *whoa!*,
ワ,わ,wa,(1) *boo!*(2) *ack!*,
ワッ,わっ,wa,*wah!* *yay!* *yeeahh!* *cheer* *woot!*,"SFX for a cheer, or a happy atmosphere."
ワー,わー,wa-,(1) *roar*;(2) *wow*;(3) *yeaahh* *cheer* *applause*;(4) *waaah*,(1) (A crowd's) excited roar.  See also *wai wai* and *wara wara*;(4) SFX for cheering or SFX for cry of dismay or despair.
ワーッ,わーっ,wa-,*wow* *yay* *delight*,
ワーイ,わーい,wa-i,*yay* *woohoo* *yes* *yeah*,"Positive cheering, expression of cheerfulness or happiness."
ワーンッ,わーんっ,wa-n,(1) *bawling* *waahh*;(2) *waahh* *grrr*,"(1) SFX for a long, wailing cry of despair;(2) SFX for a loud cry of outrage or unhappiness with something"
ワーンワーン,わーんわーん,wa-n wa-n,*waah waah**booh hoo**bawling*,SFX for crying loudly and hysterically.
ワーワー,わーわー,wa-wa-,(1) *roar*;(2) *chatter* *rustle*,(1) (A crowd's) excited roar.  See also *wai wai* and *wara wara*;(2) SFX for background noise of pedestrians on the street.
ワア,わあ,waa,(1) *wow*;(2) *roar* *yaahh!*;(3) *cheer* *applause*,"(2) Like the war cries of soldiers in battle, or cry of protest."
ワッフン,わっふん,waffun,*grunt*,Light SFX...strange grunt.
ワフ,わふ,wafu,(1) *grunt*;(2) *woof*,"(1) Light SFX...strange grunt;(2) SFX for dog ""woof-ing"", see also *Wafu wafu*."
ワフワフ,わふわふ,wafu wafu,(1) *grunt grunt**mumble mumble*;(2) *woof woof*,"(1) Light SFX...strange grunt;(2) SFX for dog ""woof-ing"", see also *Wafu*."
ワフーン,わふーん,wafu-n,*whine*,"High-pitched, sad whine of a dog."
ワハハ,わはは,wahaha,*hahaha**bwahaha**ahaha*,"Full-on, loud laughter.See also *hahaha* (ハハハ)."
ワイ,わい,wai,*yay!* *delight*,"Feminine exclamation of delight, spoken by a character."
ワイワイ,わいわい,wai wai,*chatter chatter*,"To explain lively action/noise, like *Gaya gaya*"
ワク,わく,waku,*excitement* *happy*,Cute anticipation.
ワクワク,わくわく,waku waku,*excited**nervous**trembling*,"Happy, cute anticipation.See also *baku baku*."
ワン！,わん！,wan,*woof!*,SFX for the call of a dog or wolf.
ワンワン,わんわん,wan wan,*bow-wow**woof woof**wuff wuff**ruff ruff*,SFX for the sound of a dog calling.
ワナワナ,わなわな,wana wana,*tremble tremble**shake shake*,Trembling from fear or anger; trembling all over.
ワラワラ,わらわら,wara wara,*chatter chatter*,"Crowded people, usually small kids.  See also *waa* and *wai wai*."
ワサワサ,わさわさ,wasa wasa,*rustle rustle*,
ワッシ,わっし,wasshi,*one-two**one-and-a-two**one-two-three**hee haa**huff huff*,"SFX for the sound one makes while motivating oneself to use physical effort or to exert oneself physically.Ex: Counting out ""one-two-three, and a one-two-three"" while doing jumping jacks."
ワタワタ,わたわた,wata wata,(1) *panic*;(2) *flap flap*,"(1) Moving busily;(2) SFX for arms flailing around, trying to cover a mistake."
ワワ,わわ,wawa,*whoa*,"In a ""what the heck"" way."
ワザワザ,わざわざ,waza waza,*expressly* *intentionally*,To go through the trouble of doing something.
ンッ,んっ,n,*grunt*,"As of surprise, effort, sleepiness, pain, or passion.Usually in context of exerting physical effort."
